season,name,team,pos,games,minutes,points,rebounds,assists,steals,blocks,turnovers
2022-23,Andrew Wiggins,GSW,SF,37,1190,633,186,85,45,28,48
2022-23,Jarred Vanderbilt,UTA,PF,78,1879,619,582,184,83,21,97
2022-23,Draymond Green,GSW,PF,73,2297,617,525,500,74,60,204
2022-23,Al Horford,BOS,C,63,1922,616,390,189,30,61,37
2022-23,Kyle Lowry,MIA,PG,55,1718,615,225,281,57,21,103
2022-23,Jeremy Sochan,SAS,PF,56,1458,614,295,142,43,23,97
2022-23,Jalen Duren,DET,C,67,1670,612,595,75,44,59,92
2022-23,Damion Lee,PHO,SG,74,1506,604,225,99,30,7,78
2022-23,Cam Thomas,BRK,SG,57,948,604,95,78,20,7,63
2022-23,Karl-Anthony Towns,MIN,PF,29,957,602,236,140,20,17,86
2022-23,Moritz Wagner,ORL,C,57,1109,600,259,84,37,13,68
2022-23,Torrey Craig,PHO,PF,79,1948,588,426,117,50,62,73
2022-23,Thomas Bryant,LAL,C,59,1081,579,339,31,16,30,38
2022-23,Kevon Looney,GSW,C,82,1958,578,760,207,52,50,45
2022-23,Isaiah Stewart,DET,C,50,1414,567,403,70,20,34,68
2022-23,Joe Harris,BRK,SF,74,1527,562,164,101,34,13,41
2022-23,Trey Lyles,SAC,PF,74,1247,562,300,66,27,31,64
2022-23,Reggie Bullock,DAL,SF,78,2364,561,283,108,54,13,36
2022-23,Seth Curry,BRK,SG,61,1211,561,100,99,36,7,51
2022-23,Brandon Clarke,MEM,PF,56,1090,558,310,72,34,37,55
2022-23,Dorian Finney-Smith,DAL,PF,66,2009,551,316,100,55,36,62
2022-23,Jose Alvarado,NOP,PG,61,1310,550,141,186,67,10,81
2022-23,Josh Green,DAL,SG,60,1539,546,182,103,42,5,72
2022-23,Luke Kennard,LAC,SG,59,1315,546,158,91,32,5,46
2022-23,Jordan Nwora,MIL,SF,62,1188,542,229,88,24,14,66
2022-23,Troy Brown Jr.,LAL,SF,76,1860,541,308,95,59,16,49
2022-23,Devonte' Graham,NOP,PG,73,1338,539,122,196,45,16,53
2022-23,Nick Richards,CHO,C,65,1217,532,416,38,11,71,59
2022-23,Josh Okogie,PHO,SG,72,1350,529,251,105,56,34,63
2022-23,Jalen Suggs,ORL,SG,53,1246,524,161,155,67,27,94
2022-23,Hamidou Diallo,DET,SF,56,996,522,194,55,53,16,71
2022-23,Terrence Ross,ORL,SG,63,1330,522,154,95,35,10,43
2022-23,Drew Eubanks,POR,C,78,1584,518,418,103,40,102,67
2022-23,Tre Mann,OKC,PG,67,1183,517,155,120,40,11,62
2022-23,Sam Hauser,BOS,SF,80,1290,512,204,71,29,21,30
2022-23,Kevin Love,CLE,PF,62,1240,509,399,116,16,12,70
2022-23,Precious Achiuwa,TOR,C,55,1140,508,328,50,31,30,59
2022-23,Dwight Powell,DAL,C,76,1458,506,314,69,48,26,65
